wavelength_um,intensity_MW_sr-1_m-2_nm-1
6.066066066066065909e-01,3.056859245141575336e+08
6.126126126126126836e-01,2.938733812657501698e+08
6.186186186186186653e-01,2.826259519461153746e+08
6.246246246246246470e-01,2.719115025751399398e+08
6.306306306306306286e-01,2.617000108802316189e+08
6.366366366366366103e-01,2.519634091777718961e+08
6.426426426426425920e-01,2.426754402845562398e+08
6.486486486486485736e-01,2.338115252695542574e+08
6.546546546546545553e-01,2.253486419747205377e+08
6.606606606606606480e-01,2.172652133392457068e+08
6.666666666666666297e-01,2.095410046560288668e+08
6.726726726726726113e-01,2.021570289735676646e+08
6.786786786786787040e-01,1.950954599320313334e+08
6.846846846846846857e-01,1.883395513900040686e+08
6.906906906906906674e-01,1.818735632591304183e+08
6.966966966966966490e-01,1.756826930184426904e+08
7.027027027027026307e-01,1.697530124291683435e+08
7.087087087087087234e-01,1.640714090149195790e+08
7.147147147147147050e-01,1.586255319118751884e+08
7.207207207207206867e-01,1.534037417293545604e+08
7.267267267267266684e-01,1.483950640934674740e+08
7.327327327327326500e-01,1.435891465756710172e+08
7.387387387387387427e-01,1.389762187344037890e+08
7.447447447447447244e-01,1.345470550217885077e+08
7.507507507507507061e-01,1.302929403289556950e+08
7.567567567567567988e-01,1.262056379630746543e+08
7.627627627627627804e-01,1.222773598668863326e+08
7.687687687687687621e-01,1.185007389076015204e+08
7.747747747747747438e-01,1.148688030766188651e+08
7.807807807807807254e-01,1.113749514547773600e+08
7.867867867867867071e-01,1.080129318099170625e+08
7.927927927927926888e-01,1.047768197044973373e+08
7.987987987987986704e-01,1.016609990010184795e+08
8.048048048048048742e-01,9.866014366210368276e+07
8.108108108108108558e-01,9.576920075040939450e+07
8.168168168168168375e-01,9.298337454111628234e+07
8.228228228228228192e-01,9.029811166668270528e+07
8.288288288288288008e-01,8.770908721987389028e+07
8.348348348348347825e-01,8.521219174687206745e+07
8.408408408408407642e-01,8.280351906757330894e+07
8.468468468468467458e-01,8.047935486503064632e+07
8.528528528528528385e-01,7.823616599045278132e+07
8.588588588588588202e-01,7.607059043424449861e+07
8.648648648648649129e-01,7.397942791731987894e+07
8.708708708708708945e-01,7.195963106035412848e+07
8.768768768768768762e-01,7.000829709179644287e+07
8.828828828828828579e-01,6.812266005836933851e+07
8.888888888888888395e-01,6.630008350444661081e+07
8.948948948948948212e-01,6.453805358915985376e+07
9.009009009009009139e-01,6.283417261234362423e+07
9.069069069069068956e-01,6.118615292251373082e+07
9.129129129129128772e-01,5.959181118199349940e+07
9.189189189189188589e-01,5.804906296607413143e+07
9.249249249249248406e-01,5.655591767473076284e+07
9.309309309309309333e-01,5.511047373692457378e+07
9.369369369369369149e-01,5.371091408891652524e+07
9.429429429429428966e-01,5.235550190930648893e+07
9.489489489489489893e-01,5.104257659470424801e+07
9.549549549549549710e-01,4.977054996104135364e+07
9.609609609609610636e-01,4.853790265655355901e+07
9.669669669669669343e-01,4.734318077340964973e+07
9.729729729729730270e-01,4.618499264583785832e+07
9.789789789789788976e-01,4.506200582341475785e+07
9.849849849849849903e-01,4.397294420893243700e+07
9.909909909909908610e-01,4.291658535096211731e+07
9.969969969969970647e-01,4.189175788187775761e+07
1.003003003003002824e+00,4.089733909270955622e+07
1.009009009009008917e+00,3.993225263675409555e+07
1.015015015015014788e+00,3.899546635439143330e+07
1.021021021021021102e+00,3.808599021204122901e+07
1.027027027027027195e+00,3.720287434864277393e+07
1.033033033033033066e+00,3.634520722346143425e+07
1.039039039039039158e+00,3.551211385941566527e+07
1.045045045045045029e+00,3.470275417648251355e+07
1.051051051051051122e+00,3.391632141007801145e+07
1.057057057057056992e+00,3.315204060962611437e+07
1.063063063063063085e+00,3.240916721282361075e+07
1.069069069069068956e+00,3.168698569138509780e+07
1.075075075075075048e+00,3.098480826430734247e+07
1.081081081081080919e+00,3.030197367493424192e+07
1.087087087087087012e+00,2.963784602832578868e+07
1.093093093093093104e+00,2.899181368564590439e+07
1.099099099099098975e+00,2.836328821247822046e+07
1.105105105105105068e+00,2.775170337816321477e+07
1.111111111111110938e+00,2.715651420342133939e+07
1.117117117117117031e+00,2.657719605368661880e+07
1.123123123123123124e+00,2.601324377572654560e+07
1.129129129129129216e+00,2.546417087526360154e+07
1.135135135135135087e+00,2.492950873344685510e+07
1.141141141141141180e+00,2.440880586014452949e+07
1.147147147147147050e+00,2.390162718214539066e+07
1.153153153153153143e+00,2.340755336446449906e+07
1.159159159159159236e+00,2.292618016305204853e+07
1.165165165165165106e+00,2.245711780729852617e+07
1.171171171171171199e+00,2.199999041082020849e+07
1.177177177177177070e+00,2.155443540909342468e+07
1.183183183183183163e+00,2.112010302258451283e+07
1.189189189189189033e+00,2.069665574409824237e+07
1.195195195195195126e+00,2.028376784913627431e+07
1.201201201201200996e+00,1.988112492812434956e+07
1.207207207207207089e+00,1.948842343942788988e+07
1.213213213213213182e+00,1.910537028213484585e+07
1.219219219219219275e+00,1.873168238763903826e+07
1.225225225225225367e+00,1.836708632910938561e+07
1.231231231231231238e+00,1.801131794797873497e+07
1.237237237237237331e+00,1.766412199663221091e+07
1.243243243243243201e+00,1.732525179651829973e+07
1.249249249249249294e+00,1.699446891094624624e+07
1.255255255255255165e+00,1.667154283187250793e+07
1.261261261261261257e+00,1.635625068001447618e+07
1.267267267267267128e+00,1.604837691766475327e+07
1.273273273273273221e+00,1.574771307361074351e+07
1.279279279279279091e+00,1.545405747959561273e+07
1.285285285285285184e+00,1.516721501778476499e+07
1.291291291291291277e+00,1.488699687872979790e+07
1.297297297297297147e+00,1.461322032934714109e+07
1.303303303303303240e+00,1.434570849045308493e+07
1.309309309309309111e+00,1.408429012342003360e+07
1.315315315315315425e+00,1.382879942554003932e+07
1.321321321321321296e+00,1.357907583370285667e+07
1.327327327327327389e+00,1.333496383601457626e+07
1.333333333333333259e+00,1.309631279100180417e+07
1.339339339339339352e+00,1.286297675406331010e+07
