wavelength_um,intensity_MW_sr-1_m-2_nm-1
9.729729729729730270e-01,3.473807506200807169e+06
9.789789789789788976e-01,3.447831897756270133e+06
9.849849849849849903e-01,3.421769848027970642e+06
9.909909909909908610e-01,3.395635421699792147e+06
9.969969969969970647e-01,3.369442113265293185e+06
1.003003003003002824e+00,3.343202863421234302e+06
1.009009009009008917e+00,3.316930075250247959e+06
1.015015015015014788e+00,3.290635630174733698e+06
1.021021021021021102e+00,3.264330903666015249e+06
1.027027027027027195e+00,3.238026780695074704e+06
1.033033033033033066e+00,3.211733670913032256e+06
1.039039039039039158e+00,3.185461523551184684e+06
1.045045045045045029e+00,3.159219842032270506e+06
1.051051051051051122e+00,3.133017698285854422e+06
1.057057057057056992e+00,3.106863746762274764e+06
1.063063063063063085e+00,3.080766238140733447e+06
1.069069069069068956e+00,3.054733032728336286e+06
1.075075075075075048e+00,3.028771613547806628e+06
1.081081081081080919e+00,3.002889099112695549e+06
1.087087087087087012e+00,2.977092255889613647e+06
1.093093093093093104e+00,2.951387510447900742e+06
1.099099099099098975e+00,2.925780961297825910e+06
1.105105105105105068e+00,2.900278390418948140e+06
1.111111111111110938e+00,2.874885274481011089e+06
1.117117117117117031e+00,2.849606795760109555e+06
1.123123123123123124e+00,2.824447852753322106e+06
1.129129129129129216e+00,2.799413070495543536e+06
1.135135135135135087e+00,2.774506810582419392e+06
1.141141141141141180e+00,2.749733180903726723e+06
1.147147147147147050e+00,2.725096045091784094e+06
1.153153153153153143e+00,2.700599031689635478e+06
1.159159159159159236e+00,2.676245543044110760e+06
1.165165165165165106e+00,2.652038763928813860e+06
1.171171171171171199e+00,2.627981669902470428e+06
1.177177177177177070e+00,2.604077035407976713e+06
1.183183183183183163e+00,2.580327441617690027e+06
1.189189189189189033e+00,2.556735284030564129e+06
1.195195195195195126e+00,2.533302779826728627e+06
1.201201201201200996e+00,2.510031974985186942e+06
1.207207207207207089e+00,2.486924751170315314e+06
1.213213213213213182e+00,2.463982832392820157e+06
1.219219219219219275e+00,2.441207791450807359e+06
1.225225225225225367e+00,2.418601056156628765e+06
1.231231231231231238e+00,2.396163915355058387e+06
1.237237237237237331e+00,2.373897524738355074e+06
1.243243243243243201e+00,2.351802912463737186e+06
1.249249249249249294e+00,2.329880984578624833e+06
1.255255255255255165e+00,2.308132530259099323e+06
1.261261261261261257e+00,2.286558226866760291e+06
1.267267267267267128e+00,2.265158644829264842e+06
1.273273273273273221e+00,2.243934252349625342e+06
1.279279279279279091e+00,2.222885419949262869e+06
1.285285285285285184e+00,2.202012424849815667e+06
1.291291291291291277e+00,2.181315455198476091e+06
1.297297297297297147e+00,2.160794614141623955e+06
1.303303303303303240e+00,2.140449923751395196e+06
1.309309309309309111e+00,2.120281328809713479e+06
1.315315315315315425e+00,2.100288700454236474e+06
1.321321321321321296e+00,2.080471839690531138e+06
1.327327327327327389e+00,2.060830480774734169e+06
1.333333333333333259e+00,2.041364294470800553e+06
1.339339339339339352e+00,2.022072891186400549e+06
1.345345345345345223e+00,2.002955823991354322e+06
1.351351351351351315e+00,1.984012591522449395e+06
1.357357357357357408e+00,1.965242640778373461e+06
1.363363363363363279e+00,1.946645369808346266e+06
1.369369369369369371e+00,1.928220130298036616e+06
1.375375375375375242e+00,1.909966230056125438e+06
1.381381381381381335e+00,1.891882935404907912e+06
1.387387387387387205e+00,1.873969473478132626e+06
1.393393393393393298e+00,1.856225034429232590e+06
1.399399399399399169e+00,1.838648773553026840e+06
1.405405405405405261e+00,1.821239813323808368e+06
1.411411411411411576e+00,1.803997245352746919e+06
1.417417417417417447e+00,1.786920132267366629e+06
1.423423423423423539e+00,1.770007509515804006e+06
1.429429429429429410e+00,1.753258387098494684e+06
1.435435435435435503e+00,1.736671751229806570e+06
1.441441441441441373e+00,1.720246565932094352e+06
1.447447447447447466e+00,1.703981774564565625e+06
1.453453453453453337e+00,1.687876301289273659e+06
1.459459459459459429e+00,1.671929052476456156e+06
1.465465465465465300e+00,1.656138918051426997e+06
1.471471471471471393e+00,1.640504772785069188e+06
1.477477477477477485e+00,1.625025477530012839e+06
1.483483483483483356e+00,1.609699880404416705e+06
1.489489489489489449e+00,1.594526817925283220e+06
1.495495495495495319e+00,1.579505116093143588e+06
1.501501501501501412e+00,1.564633591429868247e+06
1.507507507507507505e+00,1.549911051971349167e+06
1.513513513513513598e+00,1.535336298216705676e+06
1.519519519519519468e+00,1.520908124035605928e+06
1.525525525525525561e+00,1.506625317535280250e+06
1.531531531531531432e+00,1.492486661888707662e+06
1.537537537537537524e+00,1.478490936125429114e+06
1.543543543543543617e+00,1.464636915886398638e+06
1.549549549549549488e+00,1.450923374144199304e+06
1.555555555555555580e+00,1.437349081889954628e+06
1.561561561561561451e+00,1.423912808788183378e+06
1.567567567567567544e+00,1.410613323800807819e+06
1.573573573573573414e+00,1.397449395781513304e+06
1.579579579579579507e+00,1.384419794041566784e+06
1.585585585585585378e+00,1.371523288888198556e+06
1.591591591591591470e+00,1.358758652136616642e+06
1.597597597597597341e+00,1.346124657596647507e+06
1.603603603603603656e+00,1.333620081535004545e+06
1.609609609609609748e+00,1.321243703114131466e+06
1.615615615615615619e+00,1.308994304808518384e+06
1.621621621621621712e+00,1.296870672799399821e+06
1.627627627627627582e+00,1.284871597348658834e+06
1.633633633633633675e+00,1.272995873152772896e+06
1.639639639639639546e+00,1.261242299677597359e+06
1.645645645645645638e+00,1.249609681474724552e+06
1.651651651651651509e+00,1.238096828480183613e+06
1.657657657657657602e+00,1.226702556296166964e+06
1.663663663663663472e+00,1.215425686456481693e+06
1.669669669669669565e+00,1.204265046676371479e+06
1.675675675675675658e+00,1.193219471087349812e+06
1.681681681681681528e+00,1.182287800457660807e+06
1.687687687687687621e+00,1.171468882398939459e+06
1.693693693693693492e+00,1.160761571559661767e+06
1.699699699699699584e+00,1.150164729805907002e+06
1.705705705705705677e+00,1.139677226389979478e+06
1.711711711711711770e+00,1.129297938107378315e+06
1.717717717717717640e+00,1.119025749442623230e+06
1.723723723723723733e+00,1.108859552704381756e+06
1.729729729729729826e+00,1.098798248150377069e+06
1.735735735735735696e+00,1.088840744102489203e+06
1.741741741741741789e+00,1.078985957052482059e+06
1.747747747747747660e+00,1.069232811758759897e+06
1.753753753753753752e+00,1.059580241334534483e+06
1.759759759759759623e+00,1.050027187327781459e+06
1.765765765765765716e+00,1.040572599793349276e+06
1.771771771771771586e+00,1.031215437357557123e+06
1.777777777777777679e+00,1.021954667275628075e+06
1.783783783783783550e+00,1.012789265482266201e+06
1.789789789789789642e+00,1.003718216635689256e+06
1.795795795795795735e+00,9.947405141554258298e+05
1.801801801801801828e+00,9.858551602541363100e+05
1.807807807807807920e+00,9.770611659637591802e+05
1.813813813813813791e+00,9.683575511562305037e+05
1.819819819819819884e+00,9.597433445590331685e+05
1.825825825825825754e+00,9.512175837658224627e+05
1.831831831831831847e+00,9.427793152423612773e+05
