wavelength_um,intensity_MW_sr-1_m-2_nm-1
0.000000000000000000e+00,nan
6.006006006006005954e-03,0.000000000000000000e+00
1.201201201201201191e-02,1.910646676129036877e-156
1.801801801801801786e-02,1.583483372641802239e-99
2.402402402402402382e-02,2.981017559114025439e-71
3.003003003003003324e-02,2.135410112262824400e-54
3.603603603603603572e-02,3.114246239299002039e-43
4.204204204204203821e-02,2.603773504074219713e-35
4.804804804804804763e-02,2.081524948290354422e-29
5.405405405405405705e-02,7.571695261872152191e-25
6.006006006006006648e-02,3.189076728657369691e-21
6.606606606606606202e-02,2.814286051876998837e-18
7.207207207207207145e-02,7.720540048994375513e-16
7.807807807807808087e-02,8.647117438905385413e-14
8.408408408408407642e-02,4.801819527106593103e-12
9.009009009009008584e-02,1.524005579731656509e-10
9.609609609609609526e-02,3.074787979253101800e-09
1.021021021021021047e-01,4.277066304008294381e-08
1.081081081081081141e-01,4.368573243170446865e-07
1.141141141141141097e-01,3.443100869715318678e-06
1.201201201201201330e-01,2.178621654335122080e-05
1.261261261261261146e-01,1.142703982332447088e-04
1.321321321321321240e-01,5.099783482483928121e-04
1.381381381381381335e-01,1.978737968255906820e-03
1.441441441441441429e-01,6.795478718333711719e-03
1.501501501501501246e-01,2.096839147092736597e-02
1.561561561561561617e-01,5.887441836294300679e-02
1.621621621621621434e-01,1.520485036789858135e-01
1.681681681681681528e-01,3.645290630008184429e-01
1.741741741741741623e-01,8.177446590213411914e-01
1.801801801801801717e-01,1.728281426336295334e+00
1.861861861861861811e-01,3.461850650767602122e+00
1.921921921921921905e-01,6.606279780287640513e+00
1.981981981981981722e-01,1.206535029643030477e+01
2.042042042042042094e-01,2.117385914834895289e+01
2.102102102102101910e-01,3.583252026122499245e+01
2.162162162162162282e-01,5.865943557222868066e+01
2.222222222222222099e-01,9.315305903207216431e+01
2.282282282282282193e-01,1.438600486179126960e+02
2.342342342342342287e-01,2.165403088167665828e+02
2.402402402402402659e-01,3.183209714499797087e+02
2.462462462462462476e-01,4.578310854039181663e+02
2.522522522522522292e-01,6.453093649489547943e+02
2.582582582582582664e-01,8.926784108979147732e+02
2.642642642642642481e-01,1.213580262144368135e+03
2.702702702702702298e-01,1.623369830435730819e+03
2.762762762762762669e-01,2.139064586856564347e+03
2.822822822822823041e-01,2.779250680172160628e+03
2.882882882882882858e-01,3.563947367347174804e+03
2.942942942942942675e-01,4.514433140068309513e+03
3.003003003003002491e-01,5.653038177770498805e+03
3.063063063063063418e-01,7.002908712101834681e+03
3.123123123123123235e-01,8.587749537242074439e+03
3.183183183183183051e-01,1.043155125154076632e+04
3.243243243243242868e-01,1.255830889023539021e+04
3.303303303303303240e-01,1.499173843911351833e+04
3.363363363363363057e-01,1.775499734429750970e+04
3.423423423423423428e-01,2.087041459653127822e+04
3.483483483483483245e-01,2.435923531239696604e+04
3.543543543543543617e-01,2.824138400074687524e+04
3.603603603603603434e-01,3.253524992757134532e+04
3.663663663663663250e-01,3.725749720908390736e+04
3.723723723723723622e-01,4.242290149818995269e+04
3.783783783783783994e-01,4.804421440548968530e+04
3.843843843843843811e-01,5.413205612895248487e+04
3.903903903903903627e-01,6.069483616792850080e+04
3.963963963963963444e-01,6.773870147430415091e+04
4.024024024024024371e-01,7.526751094971202838e+04
4.084084084084084187e-01,8.328283483290170261e+04
4.144144144144144004e-01,9.178397723335388582e+04
4.204204204204203821e-01,1.007680198516708479e+05
4.264264264264264193e-01,1.102298847785532125e+05
4.324324324324324564e-01,1.201624141757086763e+05
4.384384384384384381e-01,1.305564646067040740e+05
4.444444444444444198e-01,1.414010137963386078e+05
4.504504504504504570e-01,1.526832776463187765e+05
4.564564564564564386e-01,1.643888354159805167e+05
4.624624624624624203e-01,1.765017610829973128e+05
4.684684684684684575e-01,1.890047590244699968e+05
4.744744744744744946e-01,2.018793022981314280e+05
4.804804804804805318e-01,2.151057719518509111e+05
4.864864864864865135e-01,2.286635959430343646e+05
4.924924924924924952e-01,2.425313864043761569e+05
4.984984984984985323e-01,2.566870741457300028e+05
5.045045045045044585e-01,2.711080394312692806e+05
5.105105105105105512e-01,2.857712382146078744e+05
5.165165165165165329e-01,3.006533231507351156e+05
5.225225225225225145e-01,3.157307588313384331e+05
5.285285285285284962e-01,3.309799308086495148e+05
5.345345345345344779e-01,3.463772480818420881e+05
5.405405405405404595e-01,3.618992388190939091e+05
5.465465465465465522e-01,3.775226391776328674e+05
5.525525525525525339e-01,3.932244751636487199e+05
5.585585585585585155e-01,4.089821375441231066e+05
5.645645645645646082e-01,4.247734498838535510e+05
5.705705705705705899e-01,4.405767298336671083e+05
5.765765765765765716e-01,4.563708438405939960e+05
5.825825825825825532e-01,4.721352554881946417e+05
5.885885885885885349e-01,4.878500677058141446e+05
5.945945945945945166e-01,5.034960591099874582e+05
6.006006006006004982e-01,5.190547147599812597e+05
6.066066066066065909e-01,5.345082516232671915e+05
6.126126126126126836e-01,5.498396390559579013e+05
6.186186186186186653e-01,5.650326146085916553e+05
6.246246246246246470e-01,5.800716954694611486e+05
6.306306306306306286e-01,5.949421858565477887e+05
6.366366366366366103e-01,6.096301806653694948e+05
6.426426426426425920e-01,6.241225656741429120e+05
6.486486486486485736e-01,6.384070145998807857e+05
6.546546546546545553e-01,6.524719832898554159e+05
6.606606606606606480e-01,6.663067013223395916e+05
6.666666666666666297e-01,6.799011612792394590e+05
6.726726726726726113e-01,6.932461059410490561e+05
6.786786786786787040e-01,7.063330136420613853e+05
6.846846846846846857e-01,7.191540820107813925e+05
6.906906906906906674e-01,7.317022103075212799e+05
6.966966966966966490e-01,7.439709805579805980e+05
7.027027027027026307e-01,7.559546376687185839e+05
7.087087087087087234e-01,7.676480686975663994e+05
7.147147147147147050e-01,7.790467814395626774e+05
7.207207207207206867e-01,7.901468824767989572e+05
7.267267267267266684e-01,8.009450548287819838e+05
7.327327327327326500e-01,8.114385353286180180e+05
7.387387387387387427e-01,8.216250918394370237e+05
7.447447447447447244e-01,8.315030004151257453e+05
7.507507507507507061e-01,8.410710224995759781e+05
7.567567567567567988e-01,8.503283822493433254e+05
7.627627627627627804e-01,8.592747440557907103e+05
7.687687687687687621e-01,8.679101903345194878e+05
7.747747747747747438e-01,8.762351996421170188e+05
7.807807807807807254e-01,8.842506251729805954e+05
7.867867867867867071e-01,8.919576736822654493e+05
7.927927927927926888e-01,8.993578848746253643e+05
7.987987987987986704e-01,9.064531112926859641e+05
8.048048048048048742e-01,9.132454987337539205e+05
8.108108108108108558e-01,9.197374672183542280e+05
8.168168168168168375e-01,9.259316925295911497e+05
8.228228228228228192e-01,9.318310883382268948e+05
8.288288288288288008e-01,9.374387889245528495e+05
8.348348348348347825e-01,9.427581325046696002e+05
8.408408408408407642e-01,9.477926451656895224e+05
8.468468468468467458e-01,9.525460254115536809e+05
8.528528528528528385e-01,9.570221293186345138e+05
8.588588588588588202e-01,9.612249562979992479e+05
8.648648648648649129e-01,9.651586354592412245e+05
8.708708708708708945e-01,9.688274125689837383e+05
8.768768768768768762e-01,9.722356375955772819e+05
8.828828828828828579e-01,9.753877528301725397e+05
8.888888888888888395e-01,9.782882815731542651e+05
