wavelength_um,intensity_MW_sr-1_m-2_nm-1
0.000000000000000000e+00,nan
6.006006006006005954e-03,1.279371611383316907e-189
1.201201201201201191e-02,4.363627666406788523e-87
1.801801801801801786e-02,2.746154979761786180e-53
2.402402402402402382e-02,1.424617208042122307e-36
3.003003003003003324e-02,1.182900502801579860e-26
3.603603603603603572e-02,4.101178920598412741e-20
4.204204204204203821e-02,1.707517997973035858e-15
4.804804804804804763e-02,4.550388177878402858e-12
5.405405405405405705e-02,1.959883718790723658e-09
6.006006006006006648e-02,2.373550242335953331e-07
6.606606606606606202e-02,1.148246210192243606e-05
7.207207207207207145e-02,2.801725378517371337e-04
7.807807807807808087e-02,4.049818480175336292e-03
8.408408408408407642e-02,3.888542739801379572e-02
9.009009009009008584e-02,2.696552401096625751e-01
9.609609609609609526e-02,1.437634834876738044e+00
1.021021021021021047e-01,6.180010244483884918e+00
1.081081081081081141e-01,2.222584138806971055e+01
1.141141141141141097e-01,6.884336558891000379e+01
1.201201201201201330e-01,1.879526902479640000e+02
1.261261261261261146e-01,4.608091597379772111e+02
1.321321321321321240e-01,1.030113619959852713e+03
1.381381381381381335e-01,2.126066031321902301e+03
1.441441441441441429e-01,4.093633892103636299e+03
1.501501501501501246e-01,7.417516182107448003e+03
1.561561561561561617e-01,1.274115309762415200e+04
1.621621621621621434e-01,2.087666963008912717e+04
1.681681681681681528e-01,3.280368984378465393e+04
1.741741741741741623e-01,4.965627197217478533e+04
1.801801801801801717e-01,7.269853623676051211e+04
1.861861861861861811e-01,1.032906811468162923e+05
1.921921921921921905e-01,1.428478819838144118e+05
1.981981981981981722e-01,1.927949902149371919e+05
2.042042042042042094e-01,2.545200239069185918e+05
2.102102102102101910e-01,3.293292198086893186e+05
2.162162162162162282e-01,4.184059918669160688e+05
2.222222222222222099e-01,5.227755956617277116e+05
2.282282282282282193e-01,6.432767111649770522e+05
2.342342342342342287e-01,7.805405885793287307e+05
2.402402402402402659e-01,9.349778965838961303e+05
2.462462462462462476e-01,1.106772994368590415e+06
2.522522522522522292e-01,1.295885028956674272e+06
2.582582582582582664e-01,1.502055036885893904e+06
2.642642642642642481e-01,1.724818096093811560e+06
2.702702702702702298e-01,1.963519517056569224e+06
2.762762762762762669e-01,2.217334067056266125e+06
2.822822822822823041e-01,2.485287272896698676e+06
2.882882882882882858e-01,2.766277931479561143e+06
2.942942942942942675e-01,3.059101062174838036e+06
3.003003003003002491e-01,3.362470649742739741e+06
3.063063063063063418e-01,3.675041643706375733e+06
3.123123123123123235e-01,3.995430793574296869e+06
3.183183183183183051e-01,4.322236004997894168e+06
3.243243243243242868e-01,4.654053997159129009e+06
3.303303303303303240e-01,4.989496124974641018e+06
3.363363363363363057e-01,5.327202300570492633e+06
3.423423423423423428e-01,5.665853007120203227e+06
3.483483483483483245e-01,6.004179445223045535e+06
3.543543543543543617e-01,6.340971888520170934e+06
3.603603603603603434e-01,6.675086352366013452e+06
3.663663663663663250e-01,7.005449698331041262e+06
3.723723723723723622e-01,7.331063309342270717e+06
3.783783783783783994e-01,7.651005476550254971e+06
3.843843843843843811e-01,7.964432640634055249e+06
3.903903903903903627e-01,8.270579628200607374e+06
3.963963963963963444e-01,8.568759019063007087e+06
4.024024024024024371e-01,8.858359773238543421e+06
4.084084084084084187e-01,9.138845238119324669e+06
4.144144144144144004e-01,9.409750646958867088e+06
4.204204204204203821e-01,9.670680210011638701e+06
4.264264264264264193e-01,9.921303889698917046e+06
4.324324324324324564e-01,1.016135394131686538e+07
4.384384384384384381e-01,1.039062129125167616e+07
4.444444444444444198e-01,1.060895181556865945e+07
4.504504504504504570e-01,1.081624257329701819e+07
4.564564564564564386e-01,1.101243804080438986e+07
4.624624624624624203e-01,1.119752638638238981e+07
4.684684684684684575e-01,1.137153581755376980e+07
4.744744744744744946e-01,1.153453102766223066e+07
4.804804804804805318e-01,1.168660976299464516e+07
4.864864864864865135e-01,1.182789952698501758e+07
4.924924924924924952e-01,1.195855443392404169e+07
4.984984984984985323e-01,1.207875222100713290e+07
5.045045045045044585e-01,1.218869142445589229e+07
5.105105105105105512e-01,1.228858872279939055e+07
5.165165165165165329e-01,1.237867644816082716e+07
5.225225225225225145e-01,1.245920026451882720e+07
5.285285285285284962e-01,1.253041701036391035e+07
5.345345345345344779e-01,1.259259270190987363e+07
5.405405405405404595e-01,1.264600069201356731e+07
5.465465465465465522e-01,1.269091997917235270e+07
5.525525525525525339e-01,1.272763366037689522e+07
5.585585585585585155e-01,1.275642752117174678e+07
5.645645645645646082e-01,1.277758875599271618e+07
5.705705705705705899e-01,1.279140481168673374e+07
5.765765765765765716e-01,1.279816234705863334e+07
5.825825825825825532e-01,1.279814630131151341e+07
5.885885885885885349e-01,1.279163906433903053e+07
5.945945945945945166e-01,1.277891974197608791e+07
6.006006006006004982e-01,1.276026350950649194e+07
6.066066066066065909e-01,1.273594104695413075e+07
6.126126126126126836e-01,1.270621804993707128e+07
6.186186186186186653e-01,1.267135481013747491e+07
6.246246246246246470e-01,1.263160585972473584e+07
6.306306306306306286e-01,1.258721967436313629e+07
6.366366366366366103e-01,1.253843842973099463e+07
6.426426426426425920e-01,1.248549780677434057e+07
6.486486486486485736e-01,1.242862684121077321e+07
6.546546546546545553e-01,1.236804781308572553e+07
6.606606606606606480e-01,1.230397617246281914e+07
6.666666666666666297e-01,1.223662049759981409e+07
6.726726726726726113e-01,1.216618248222164437e+07
6.786786786786787040e-01,1.209285694875070080e+07
6.846846846846846857e-01,1.201683188459206745e+07
6.906906906906906674e-01,1.193828849879647233e+07
6.966966966966966490e-01,1.185740129663708061e+07
7.027027027027026307e-01,1.177433816983782686e+07
7.087087087087087234e-01,1.168926050037981197e+07
7.147147147147147050e-01,1.160232327599060908e+07
7.207207207207206867e-01,1.151367521558694728e+07
7.267267267267266684e-01,1.142345890309710056e+07
7.327327327327326500e-01,1.133181092823354900e+07
7.387387387387387427e-01,1.123886203292119689e+07
7.447447447447447244e-01,1.114473726221110485e+07
7.507507507507507061e-01,1.104955611862532236e+07
7.567567567567567988e-01,1.095343271898501739e+07
